"dateRep","United_States_of_America","France","Germany","Italy","United_Kingdom","Spain","Sweden","Belgium","Netherlands"
"2020-02-01",,,,,,,,,
"2020-02-02",,,,,,,,,
"2020-02-03",,,,,,,,,
"2020-02-04",,,,,,,,,
"2020-02-05",179856.1,,,,,,,,
"2020-02-06",197841.7,54005.4,,,,,,,
"2020-02-07",179856.1,36003.6,,,,,,,
"2020-02-08",179856.1,72007.2,,,,,,,
"2020-02-09",125899.3,72007.2,251798.6,,,,,,
"2020-02-10",125899.3,72007.2,233812.9,,,,,,
"2020-02-11",143884.9,63006.3,215827.3,,,,,,
"2020-02-12",125899.3,54005.4,108010.8,,,,,,
"2020-02-13",143884.9,54005.4,108010.8,15432.1,153015.3,,,,
"2020-02-14",107913.7,54005.4,99009.9,5144,144014.4,18001.8,,,
"2020-02-15",107913.7,54005.4,72007.2,5144,144014.4,9000.9,,,
"2020-02-16",107913.7,54005.4,54005.4,5144,144014.4,9000.9,,,
"2020-02-17",53956.8,54005.4,36003.6,5144,99009.9,9000.9,,9000.9,
"2020-02-18",53956.8,54005.4,36003.6,5144,99009.9,9000.9,,0,
"2020-02-19",53956.8,54005.4,36003.6,5144,99009.9,9000.9,,0,
"2020-02-20",35971.2,54005.4,36003.6,5144,117011.7,9000.9,,0,
"2020-02-21",71942.4,54005.4,27002.7,61195.1,126012.6,9000.9,,0,
"2020-02-22",71942.4,9000.9,27002.7,159287.3,90009,9000.9,,0,
"2020-02-23",71942.4,9000.9,18001.8,217422.4,126012.6,0,,0,
"2020-02-24",71942.4,9000.9,18001.8,323272.8,144014.4,0,,0,
"2020-02-25",53956.8,21598.3,9000.9,456301,171017.1,36003.6,,0,
"2020-02-26",53956.8,50396,65986.8,643684.7,189018.9,99009.9,,0,
"2020-02-27",53956.8,194384.4,179964,932627.7,243024.3,117011.7,,0,
"2020-02-28",53956.8,331173.5,164609.1,1265913.3,342034.2,270027,,0,
"2020-02-29",197841.7,253456.2,252000,1609211.8,387038.7,387038.7,,0,
"2020-03-01",216086.4,339861.8,456000,2418824.2,684068.4,738073.8,,9000.9,
"2020-03-02",369036.9,407003.2,572000,2908024.6,1035103.5,1062106.2,,63006.3,
"2020-03-03",540054,454752.2,720000,3574595.9,1530153,1467146.7,,108010.8,
"2020-03-04",837083.7,627558,984000,4140059,2034203.4,1980198,,158387.3,
