"dateRep","United_States_of_America","France","Germany","Italy","United_Kingdom","Sweden","Israel","Netherlands","Spain","Belgium"
"2020-02-01",,,,,,,,,,
"2020-02-02",,,,,,,,,,
"2020-02-03",,,,,,,,,,
"2020-02-04",,,,,,,,,,
"2020-02-05",,,,,,,,,,
"2020-02-06",,,,,,,,,,
"2020-02-07",,,,,,,,,,
"2020-02-08",,,,,,,,,,
"2020-02-09",,,,,,,,,,
"2020-02-10",,,,,,,,,,
"2020-02-11",,,,,,,,,,
"2020-02-12",,,,,,,,,,
"2020-02-13",,,,,,,,,,
"2020-02-14",,,,,,,,,,
"2020-02-15",,,,,,,,,,
"2020-02-16",,,,,,,,,,
"2020-02-17",,,,,,,,,,
"2020-02-18",,,,,,,,,,
"2020-02-19",,,,,,,,,,
"2020-02-20",,,,,,,,,,
"2020-02-21",,,,,,,,,,
"2020-02-22",,,,,,,,,,
"2020-02-23",,,,,,,,,,
"2020-02-24",,,,,,,,,,
"2020-02-25",,,,,,,,,,
"2020-02-26",,,,,,,,,,
"2020-02-27",,,,,,,,,,
"2020-02-28",,0,,,,,,,,
"2020-02-29",,0,,,,,,,,
"2020-03-01",,0,,,,,,,,
"2020-03-02",,0,,,,,,,,
"2020-03-03",,0,,,,,,,,
"2020-03-04",,0,,,,,,,,
"2020-03-05",,0,,0.2,,,,,,
"2020-03-06",,0,,0.3,,,,,,
"2020-03-07",,0,,0.4,,,,,,
"2020-03-08",,0,,0.6,,,,,,
"2020-03-09",,0,,0.8,,,,,,
"2020-03-10",,0,,1,,,,,,
"2020-03-11",,0.1,,1.3,,,,,,
"2020-03-12",,0.1,,1.7,,,,,,
"2020-03-13",0,0.1,,2.1,,,,,,
"2020-03-14",0,0.1,,2.3,,,,,,
"2020-03-15",0,0.1,,2.9,,,,,,
"2020-03-16",0,0.2,,3.5,,,,,0.7,
"2020-03-17",0,0.2,,4,,,,,1.1,
"2020-03-18",0.1,0.2,,4.7,,,,,1.3,
"2020-03-19",0.1,0.3,,5.4,0.2,,,0.4,1.8,
"2020-03-20",0.1,0.6,,6.3,0.3,,,0.6,2.2,
"2020-03-21",0.1,0.8,,7.6,0.4,,,0.8,2.9,
"2020-03-22",0.2,1,0.1,8.5,0.4,,,1,3.8,
"2020-03-23",0.2,1.2,0.1,9.3,0.5,0.8,,1.2,4.9,
